,date_time,NE,Success Ratio of Message Transfer,Number of Received Error Answer Messages,Number of Initiated Error Answer Messages,Peak Load of CPU Usage of the Main Processor(%),Peak Memory Usage of the Main Processor(%),Peak Load of CPU Usage(%),Mean Ratio of the CPU Usage(%),Mean Load of CPU Usage(%)
6,28/4/2020 12:00,vDRKPA,100,124465,1280,20,78,27,6,4
7,28/4/2020 12:00,vDRHXA,100,125861,1354,23,79,52,6,4
8,28/4/2020 12:15,vDRKPA,100,123596,1293,20,78,27,6,4
9,28/4/2020 12:15,vDRHXA,100,124609,1381,24,79,53,6,4
10,28/4/2020 12:30,vDRKPA,100,127291,1444,20,78,27,6,4
11,28/4/2020 12:30,vDRHXA,100,127240,1497,23,79,52,6,4
12,28/4/2020 12:45,vDRKPA,100,127740,1511,19,78,27,6,4
13,28/4/2020 12:45,vDRHXA,100,127236,1604,24,79,53,7,4
14,28/4/2020 13:00,vDRKPA,100,124518,1693,19,78,27,6,4
15,28/4/2020 13:00,vDRHXA,100,124590,1792,23,79,53,7,4
16,28/4/2020 13:15,vDRKPA,100,126520,1715,20,78,28,6,4
17,28/4/2020 13:15,vDRHXA,100,126735,1858,24,79,53,7,4
18,28/4/2020 13:30,vDRKPA,100,125810,1424,20,78,27,6,4
19,28/4/2020 13:30,vDRHXA,100,125843,1517,23,79,53,7,4
20,28/4/2020 13:45,vDRKPA,100,124852,1011,20,78,27,6,4
21,28/4/2020 13:45,vDRHXA,100,124669,1111,23,79,52,7,4
22,28/4/2020 14:00,vDRKPA,100,124166,1363,20,78,28,6,4
23,28/4/2020 14:00,vDRHXA,100,124570,1478,23,79,53,7,4
24,28/4/2020 14:15,vDRKPA,100,123691,1719,20,78,28,6,4
25,28/4/2020 14:15,vDRHXA,100,124306,1868,24,79,53,7,4
26,28/4/2020 14:30,vDRKPA,100,122112,1198,20,78,28,6,4
27,28/4/2020 14:30,vDRHXA,100,123796,1279,24,79,53,7,4
28,28/4/2020 14:45,vDRKPA,100,120477,1068,20,78,28,6,4
29,28/4/2020 14:45,vDRHXA,100,121820,1169,24,79,53,7,4
30,28/4/2020 15:00,vDRKPA,100,123133,1251,20,78,28,6,4
31,28/4/2020 15:00,vDRHXA,100,123434,1328,24,79,53,7,4
32,28/4/2020 15:15,vDRKPA,100,126096,2053,21,78,29,6,4
33,28/4/2020 15:15,vDRHXA,100,125641,2153,24,79,53,7,4
34,28/4/2020 15:30,vDRKPA,100,126126,1957,20,78,28,6,4
35,28/4/2020 15:30,vDRHXA,100,125098,2040,24,79,53,7,4
36,28/4/2020 15:45,vDRKPA,100,126060,1889,20,78,28,6,4
37,28/4/2020 15:45,vDRHXA,100,126555,1964,24,79,53,7,4
38,28/4/2020 16:00,vDRKPA,100,124627,1312,20,78,28,6,4
39,28/4/2020 16:00,vDRHXA,100,124928,1405,24,79,53,7,4
40,28/4/2020 16:15,vDRKPA,100,124992,1099,20,78,28,6,4
41,28/4/2020 16:15,vDRHXA,100,124092,1157,24,79,53,7,4
42,28/4/2020 16:30,vDRKPA,100,122555,1105,20,78,28,6,4
43,28/4/2020 16:30,vDRHXA,100,122840,1217,24,79,53,7,4
44,28/4/2020 16:45,vDRKPA,100,122150,1195,20,78,28,6,4
45,28/4/2020 16:45,vDRHXA,100,122864,1308,24,79,53,7,4
46,28/4/2020 17:00,vDRKPA,100,123923,1494,21,78,29,6,4
47,28/4/2020 17:00,vDRHXA,100,123942,1587,24,79,53,7,4
48,28/4/2020 17:15,vDRKPA,100,123467,996,21,78,29,6,4
49,28/4/2020 17:15,vDRHXA,100,123271,1083,25,79,54,7,4
50,28/4/2020 17:30,vDRKPA,100,121469,1098,20,78,28,6,4
51,28/4/2020 17:30,vDRHXA,100,121551,1206,24,79,53,7,4
52,28/4/2020 17:45,vDRKPA,100,124771,2225,21,78,29,6,4
53,28/4/2020 17:45,vDRHXA,100,124804,2310,25,79,53,7,4
54,28/4/2020 18:00,vDRKPA,100,125955,2336,21,78,28,6,4
55,28/4/2020 18:00,vDRHXA,100,126771,2422,24,79,53,7,4
56,28/4/2020 18:15,vDRKPA,100,126407,2632,20,78,28,6,4
57,28/4/2020 18:15,vDRHXA,100,126475,2750,25,79,53,7,4
58,28/4/2020 18:30,vDRKPA,100,124386,2675,20,78,28,6,4
59,28/4/2020 18:30,vDRHXA,100,124652,2752,24,79,53,7,4
60,28/4/2020 18:45,vDRKPA,100,127103,2945,20,78,28,6,4
61,28/4/2020 18:45,vDRHXA,100,127385,3053,24,79,53,7,4
62,28/4/2020 19:00,vDRKPA,100,129532,3380,20,78,28,6,4
63,28/4/2020 19:00,vDRHXA,100,129906,3505,24,79,53,7,4
64,28/4/2020 19:15,vDRKPA,100,128046,3338,20,78,28,6,4
65,28/4/2020 19:15,vDRHXA,100,128028,3417,24,79,53,7,4
66,28/4/2020 19:30,vDRKPA,100,125906,3136,20,78,28,6,4
67,28/4/2020 19:30,vDRHXA,100,125740,3217,24,79,53,6,4
68,28/4/2020 19:45,vDRKPA,100,124758,1889,19,78,26,6,4
69,28/4/2020 19:45,vDRHXA,100,125203,1992,22,79,51,6,4
70,28/4/2020 20:00,vDRKPA,100,126301,2139,19,78,26,6,4
71,28/4/2020 20:00,vDRHXA,100,127002,2210,22,79,52,6,4
72,28/4/2020 20:15,vDRKPA,100,124463,2321,19,78,26,5,4
73,28/4/2020 20:15,vDRHXA,100,125149,2438,23,79,52,6,4
74,28/4/2020 20:30,vDRKPA,100,124457,2169,18,78,25,5,4
75,28/4/2020 20:30,vDRHXA,100,124799,2237,22,79,51,6,4
76,28/4/2020 20:45,vDRKPA,100,122780,1961,18,78,25,5,4
77,28/4/2020 20:45,vDRHXA,100,122879,2044,21,79,50,6,4
78,28/4/2020 21:00,vDRKPA,100,122857,2089,18,78,25,5,4
79,28/4/2020 21:00,vDRHXA,100,122664,2206,21,79,50,6,4
80,28/4/2020 21:15,vDRKPA,100,122998,1904,18,78,25,5,4
81,28/4/2020 21:15,vDRHXA,100,122789,1998,22,79,50,6,4
82,28/4/2020 21:30,vDRKPA,100,122052,1454,18,78,24,5,4
83,28/4/2020 21:30,vDRHXA,100,121030,1555,21,79,50,6,4
84,28/4/2020 21:45,vDRKPA,100,121000,1333,18,78,24,5,4
85,28/4/2020 21:45,vDRHXA,100,121568,1428,21,79,50,6,4
86,28/4/2020 22:00,vDRKPA,100,122172,1655,17,78,24,5,3
87,28/4/2020 22:00,vDRHXA,100,122671,1765,21,79,50,6,4
88,28/4/2020 22:15,vDRKPA,100,123271,1854,18,78,25,5,3
89,28/4/2020 22:15,vDRHXA,100,122743,2019,21,79,50,6,4
90,28/4/2020 22:30,vDRKPA,100,123330,2097,17,78,24,5,3
91,28/4/2020 22:30,vDRHXA,100,122783,2224,20,79,49,6,4
92,28/4/2020 22:45,vDRKPA,100,122034,2439,17,78,23,5,3
93,28/4/2020 22:45,vDRHXA,100,121667,2545,20,79,49,6,4
94,28/4/2020 23:00,vDRKPA,100,122171,2390,17,78,23,5,3
95,28/4/2020 23:00,vDRHXA,100,122794,2470,19,79,48,6,4
96,28/4/2020 23:15,vDRKPA,100,122344,2579,16,78,22,5,3
97,28/4/2020 23:15,vDRHXA,100,122744,2680,20,79,48,6,4
98,28/4/2020 23:30,vDRKPA,100,124116,3028,16,78,21,5,3
99,28/4/2020 23:30,vDRHXA,100,123538,3130,19,79,47,5,4
100,28/4/2020 23:45,vDRKPA,100,124210,4291,16,78,22,5,3
101,28/4/2020 23:45,vDRHXA,100,124462,4400,18,79,47,5,4
102,29/4/2020 0:00,vDRKPA,100,124957,4377,16,78,22,5,3
103,29/4/2020 0:00,vDRHXA,100,125615,4443,19,79,46,5,3
104,29/4/2020 0:15,vDRKPA,100,123608,4226,15,78,21,5,3
105,29/4/2020 0:15,vDRHXA,100,124288,4329,18,79,47,5,3
106,29/4/2020 0:30,vDRKPA,100,121523,4461,15,78,21,5,3
107,29/4/2020 0:30,vDRHXA,100,121125,4543,17,79,46,5,3
108,29/4/2020 0:45,vDRKPA,100,120264,4671,15,78,21,5,3
109,29/4/2020 0:45,vDRHXA,100,120149,4748,17,79,45,5,3
110,29/4/2020 1:00,vDRKPA,100,118748,4375,14,78,20,5,3
111,29/4/2020 1:00,vDRHXA,100,120290,4448,16,79,45,5,3
112,29/4/2020 1:15,vDRKPA,100,117249,3804,14,78,19,4,3
113,29/4/2020 1:15,vDRHXA,100,116639,3897,17,79,44,5,3
114,29/4/2020 1:30,vDRKPA,100,113789,3378,15,78,20,4,3
115,29/4/2020 1:30,vDRHXA,100,113337,3460,18,79,44,5,3
116,29/4/2020 1:45,vDRKPA,100,109047,2008,14,78,19,4,3
117,29/4/2020 1:45,vDRHXA,100,108972,2057,16,79,44,5,3
118,29/4/2020 2:00,vDRKPA,100,108225,1944,14,78,19,4,3
119,29/4/2020 2:00,vDRHXA,100,108949,2034,17,79,44,5,3
120,29/4/2020 2:15,vDRKPA,100,111229,2367,13,78,19,4,3
121,29/4/2020 2:15,vDRHXA,100,111293,2458,16,79,43,5,3
122,29/4/2020 2:30,vDRKPA,100,110496,2808,13,78,19,4,3
123,29/4/2020 2:30,vDRHXA,100,110496,2876,16,79,42,5,3
124,29/4/2020 2:45,vDRKPA,100,110063,2816,13,78,19,4,3
125,29/4/2020 2:45,vDRHXA,100,110900,2922,16,79,42,4,3
126,29/4/2020 3:00,vDRKPA,100,110221,3249,13,78,19,4,3
127,29/4/2020 3:00,vDRHXA,100,110456,3346,15,79,42,4,3
128,29/4/2020 3:15,vDRKPA,100,109966,2843,13,78,19,4,3
129,29/4/2020 3:15,vDRHXA,100,109515,2926,15,79,42,4,3
130,29/4/2020 3:30,vDRKPA,100,109286,3105,13,78,19,4,3
131,29/4/2020 3:30,vDRHXA,100,109354,3154,14,79,42,4,3
132,29/4/2020 3:45,vDRKPA,100,108780,2969,12,78,19,4,3
133,29/4/2020 3:45,vDRHXA,100,109380,3046,14,79,42,4,3
134,29/4/2020 4:00,vDRKPA,100,110489,3370,12,78,18,4,3
135,29/4/2020 4:00,vDRHXA,100,110048,3458,14,79,42,4,3
136,29/4/2020 4:15,vDRKPA,100,111797,3485,13,78,19,4,3
137,29/4/2020 4:15,vDRHXA,100,111301,3570,15,79,43,5,3
138,29/4/2020 4:30,vDRKPA,100,111142,3221,13,78,19,4,3
139,29/4/2020 4:30,vDRHXA,100,111521,3258,15,79,42,5,3
140,29/4/2020 4:45,vDRKPA,100,113778,3762,13,78,19,4,3
141,29/4/2020 4:45,vDRHXA,100,113745,3850,16,79,44,5,3
142,29/4/2020 5:00,vDRKPA,100,114184,4148,14,78,19,4,3
143,29/4/2020 5:00,vDRHXA,100,114298,4218,16,79,45,5,3
144,29/4/2020 5:15,vDRKPA,100,114075,3919,15,78,21,4,3
145,29/4/2020 5:15,vDRHXA,100,113941,3997,17,79,45,5,3
146,29/4/2020 5:30,vDRKPA,100,112206,2821,14,78,20,4,3
147,29/4/2020 5:30,vDRHXA,100,112260,2889,17,79,45,5,3
148,29/4/2020 5:45,vDRKPA,100,112262,2773,14,78,20,4,3
149,29/4/2020 5:45,vDRHXA,100,112480,2840,16,79,45,5,3
150,29/4/2020 6:00,vDRKPA,100,111993,2358,14,78,19,4,3
151,29/4/2020 6:00,vDRHXA,100,112373,2450,16,79,44,5,3
152,29/4/2020 6:15,vDRKPA,100,111111,1956,14,78,20,4,3
153,29/4/2020 6:15,vDRHXA,100,111503,2022,17,79,45,5,3
154,29/4/2020 6:30,vDRKPA,100,111065,1784,14,78,20,4,3
155,29/4/2020 6:30,vDRHXA,100,111145,1853,16,79,44,5,3
156,29/4/2020 6:45,vDRKPA,100,112682,2373,14,78,20,4,3
157,29/4/2020 6:45,vDRHXA,100,113034,2465,17,79,45,5,3
158,29/4/2020 7:00,vDRKPA,100,114498,2942,18,78,25,5,3
159,29/4/2020 7:00,vDRHXA,100,114323,3017,22,79,51,5,3
160,29/4/2020 7:15,vDRKPA,100,115361,2750,15,78,21,5,3
161,29/4/2020 7:15,vDRHXA,100,115116,2872,18,79,46,5,3
162,29/4/2020 7:30,vDRKPA,100,114919,2698,15,78,21,5,3
163,29/4/2020 7:30,vDRHXA,100,115851,2789,18,79,46,5,3
164,29/4/2020 7:45,vDRKPA,100,116280,2805,15,78,22,5,3
165,29/4/2020 7:45,vDRHXA,100,115417,2883,18,79,47,5,4
166,29/4/2020 8:00,vDRKPA,100,115150,2679,16,78,22,5,3
167,29/4/2020 8:00,vDRHXA,100,114875,2731,19,79,48,5,4
168,29/4/2020 8:15,vDRKPA,100,116583,2696,17,78,23,5,3
169,29/4/2020 8:15,vDRHXA,100,116044,2771,19,79,48,6,4
170,29/4/2020 8:30,vDRKPA,100,117336,2602,16,78,23,5,3
171,29/4/2020 8:30,vDRHXA,100,117590,2678,20,79,49,6,4
172,29/4/2020 8:45,vDRKPA,100,116350,2235,17,78,23,5,3
173,29/4/2020 8:45,vDRHXA,100,116811,2304,20,79,49,6,4
174,29/4/2020 9:00,vDRKPA,100,117534,1858,17,78,24,5,3
175,29/4/2020 9:00,vDRHXA,100,117557,1955,20,79,49,6,4
176,29/4/2020 9:15,vDRKPA,100,116737,1592,18,78,24,5,3
177,29/4/2020 9:15,vDRHXA,100,117191,1683,21,79,50,6,4
178,29/4/2020 9:30,vDRKPA,100,117924,1711,18,78,25,5,4
179,29/4/2020 9:30,vDRHXA,100,117078,1836,21,79,50,6,4
180,29/4/2020 9:45,vDRKPA,100,117103,1334,18,78,25,5,4
181,29/4/2020 9:45,vDRHXA,100,116041,1435,21,79,50,6,4
182,29/4/2020 10:00,vDRKPA,100,116103,1424,18,78,26,5,4
183,29/4/2020 10:00,vDRHXA,100,116984,1511,22,79,51,6,4
184,29/4/2020 10:15,vDRKPA,100,117607,1125,19,78,26,6,4
185,29/4/2020 10:15,vDRHXA,100,118212,1215,22,79,51,6,4
186,29/4/2020 10:30,vDRKPA,100,116496,1094,19,78,26,5,4
187,29/4/2020 10:30,vDRHXA,100,116866,1253,22,79,51,6,4
188,29/4/2020 10:45,vDRKPA,100,117241,1096,19,78,26,6,4
189,29/4/2020 10:45,vDRHXA,100,117389,1190,22,79,52,6,4
190,29/4/2020 11:00,vDRKPA,100,116937,1160,19,78,27,6,4
191,29/4/2020 11:00,vDRHXA,100,117239,1223,23,79,52,6,4
192,29/4/2020 11:15,vDRKPA,100,117220,1123,20,78,27,6,4
193,29/4/2020 11:15,vDRHXA,100,117955,1245,23,79,52,6,4
194,29/4/2020 11:30,vDRKPA,100,119106,889,20,78,27,6,4
195,29/4/2020 11:30,vDRHXA,100,118822,926,23,79,52,6,4
196,29/4/2020 11:45,vDRKPA,100,120383,592,20,78,27,6,4
197,29/4/2020 11:45,vDRHXA,100,119804,703,23,79,52,6,4
198,29/4/2020 12:00,vDRKPA,100,121100,515,20,78,27,6,4
199,29/4/2020 12:00,vDRHXA,100,121141,590,23,79,52,6,4
200,29/4/2020 12:15,vDRKPA,100,120218,611,20,78,28,6,4
201,29/4/2020 12:15,vDRHXA,100,120865,724,25,79,53,7,4
202,29/4/2020 12:30,vDRKPA,100,120254,494,20,78,27,6,4
